row,col,cell_x,cell_y,suggested_frame_id,notes
0,0,0,0,IDLE_00,
0,1,128,0,STAND_PUNCH_00,
0,2,256,0,STAND_PUNCH_01,
0,3,384,0,STAND_PUNCH_02,
0,4,512,0,STAND_KICK_00,
0,5,640,0,STAND_KICK_01,
0,6,768,0,CROUCH_PUNCH_00,
0,7,896,0,CROUCH_KICK_01,
1,0,0,128,JUMP_NEUTRAL_00,
1,1,128,128,JUMP_FORWARD_00,
1,2,256,128,JUMP_BACKWARD_00,
1,3,384,128,AIR_PUNCH_01,
1,4,512,128,AIR_KICK_01,
1,5,640,128,STAND_GUARD_00,
1,6,768,128,CROUCH_GUARD_00,
1,7,896,128,JUST_GUARD_00,
2,0,0,256,HITSTUN_00,
2,1,128,256,KNOCKDOWN_00,
2,2,256,256,DOWN_00,
2,3,384,256,WAKEUP_00,
2,4,512,256,STAGGER_00,
2,5,640,256,AIR_DEFLECTED_00,
2,6,768,256,LANDING_STAGGER_00,
2,7,896,256,CLASH_RECOIL_00,
3,0,0,384,,
3,1,128,384,,
3,2,256,384,,
3,3,384,384,,
3,4,512,384,,
3,5,640,384,,
3,6,768,384,,
3,7,896,384,,
4,0,0,512,,
4,1,128,512,,
4,2,256,512,,
4,3,384,512,,
4,4,512,512,,
4,5,640,512,,
4,6,768,512,,
4,7,896,512,,
5,0,0,640,,
5,1,128,640,,
5,2,256,640,,
5,3,384,640,,
5,4,512,640,,
5,5,640,640,,
5,6,768,640,,
5,7,896,640,,
6,0,0,768,,
6,1,128,768,,
6,2,256,768,,
6,3,384,768,,
6,4,512,768,,
6,5,640,768,,
6,6,768,768,,
6,7,896,768,,
7,0,0,896,,
7,1,128,896,,
7,2,256,896,,
7,3,384,896,,
7,4,512,896,,
7,5,640,896,,
7,6,768,896,,
7,7,896,896,,
