frame_id,action_group,pose_role,required,sheet_row,sheet_col,pivot_x,pivot_y,asset_status,notes
IDLE_00,Idle,Neutral,1,0,0,64,112,required,待機
WALK_FORWARD_00,WalkForward,StepA,1,0,1,64,112,required,
WALK_FORWARD_01,WalkForward,StepB,1,0,2,64,112,required,
WALK_BACKWARD_00,WalkBackward,StepA,1,0,3,64,112,required,
STAND_PUNCH_00,StandPunch,Startup,1,1,0,64,112,required,
STAND_PUNCH_01,StandPunch,Active,1,1,1,64,112,required,
STAND_PUNCH_02,StandPunch,Recovery,1,1,2,64,112,required,
STAND_KICK_00,StandKick,Startup,1,1,3,64,112,required,
STAND_KICK_01,StandKick,Active,1,1,4,64,112,required,立ち・しゃがみに当たる
STAND_KICK_02,StandKick,Recovery,1,1,5,64,112,required,
CROUCH_00,Crouch,Hold,1,2,0,64,112,required,
CROUCH_PUNCH_00,CrouchPunch,Active,1,2,1,64,112,required,
CROUCH_KICK_01,CrouchKick,Active,1,2,2,64,112,required,Clash向け
JUMP_NEUTRAL_00,JumpNeutral,Airborne,1,3,0,64,112,required,
JUMP_FORWARD_00,JumpForward,Airborne,1,3,1,64,112,required,
JUMP_BACKWARD_00,JumpBackward,Airborne,1,3,2,64,112,required,
AIR_PUNCH_01,AirPunch,Active,1,3,3,64,112,required,1ジャンプ1回
AIR_KICK_01,AirKick,Active,1,3,4,64,112,required,1ジャンプ1回
STAND_GUARD_00,StandGuard,Hold,1,4,0,64,112,required,
CROUCH_GUARD_00,CrouchGuard,Hold,1,4,1,64,112,required,
JUST_GUARD_00,JustGuard,Success,1,4,2,64,112,required,
HITSTUN_00,HitStun,Reaction,1,5,0,64,112,required,
KNOCKDOWN_00,Knockdown,Start,1,5,1,64,112,required,
DOWN_00,Down,Hold,1,5,2,64,112,required,
WAKEUP_00,WakeUp,Recovery,1,5,3,64,112,required,WakeUp終了まで無敵
STAGGER_00,Stagger,Reaction,1,6,0,64,112,required,
AIR_DEFLECTED_00,AirDeflected,Reaction,1,6,1,64,112,required,
LANDING_STAGGER_00,LandingStagger,Reaction,1,6,2,64,112,required,
CLASH_RECOIL_00,ClashRecoil,Reaction,1,6,3,64,112,required,双方反動
